Entry Number ,Region ,Seeker,Supplier,Paltform Model,Platform  Type,Year of Interest ,Year of Order,Year of First Delivery,"Year of  Identification, Completion, or Cancellation",Status,Source 1,Source 2,Source 3,Comments
170,Europe,Sweden,United States,RQ-12A Wasp AE,UAV,,2012.0,,2012.0,Yes,Defense Update,AeroVironment,,
171,Europe,Sweden,United States,RQ-20 Puma AE,UAV,,2012.0,,2012.0,Yes,sUAS News,Defense Update,AeroVironment,
172,Central,Syria,Iran,Yasir,Armed UAV,,2012.0,,2012.0,Yes,SIPRI,,,
173,Europe,United Kingdom,Israel,Hermes-450,Armed UAV,,2012.0,,2012.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of Project Lydian; for use in Afghanistan"""
174,Africa,Algeria,UAE,Yabhon Flash-20,UAV,,2013.0,2018.0,2019.0,Yes,SIPRI,Oryx,,"SIPRI Comments: ""Possibly assembled/produced under license in Algeria as Algeria-55 or El Djazair-55"""
175,Africa,Algeria,UAE,Yabhon United-40,Armed UAV,2013.0,2013.0,2018.0,2019.0,Yes,SIPRI,Oryx,defenseweb,"SIPRI Comments: ""Possibly assembled/produced under license in Algeria as Algeria-55 or El Djazair-54"""
176,Europe,Armenia,Russia,Ptero-5E,Armed UAV,,2013.0,,2015.0,Yes,CSD Drone Databook,Defense Blog,,"Army-55—and indigenous copy, X-55 or KH-55"
177,South America,Chile,Israel,SpyLite,UAV,,2013.0,,2019.0,Yes,AF Technology,Flight Global,InfoDefnsa,InfoDefense reports update to simulator in 2019; specific year of acquisition unknown
178,South America,Colombia,United States,ScanEagle,UAV,,2013.0,,2013.0,Yes,SIPRI,,,"SIPRI Comments: ""NightEagle model; aid"" "
179,Europe,France,United States,MQ-9 Reaper,UAV,,2013.0,2013.0,2017.0,Yes,SIPRI,,,"SIPRI Comments: ""$600m deal; MQ-9 Block-1 version (to be modified to armed version 2019–2020)"" "
180,Central,Iraq,United States,ScanEagle,UAV,,2013.0,2014.0,2014.0,Yes,SIPRI,,,
181,Central,Jordan,Italy,Falco,UAV,,2013.0,2014.0,2014.0,Yes,SIPRI,,,
182,Central,Lebanon,Italy,Falco,UAV,,2013.0,2014.0,2014.0,Yes,SIPRI,,,
183,Africa,Morocco,France,Heron,UAV,,2013.0,,2014.0,Yes,SIPRI,defenceweb,,"SIPRI Comments: ""Secondhand; part of Harfang UAV system"" "
184,Africa,Mozambique,Austria,Camcopter S-100,UAV,,2013.0,,2016.0,Yes,Defense Blog,Schiebel YouTube,defenceWeb,
185,Indo-Pacific,Myanmar,China,CH-3,Armed UAV,,2013.0,2014.0,2015.0,Yes,SIPRI,Insider,The Diplomat,
186,Central,Pakistan,United States,ScanEagle,UAV,,2013.0,2015.0,2015.0,Yes,SIPRI,,,"SIPRI Comments: ""$30m FMF aid"""
187,Europe,Spain,Sweden,Skeldar V-200,UAV,,2013.0,,2013.0,Yes,SIPRI,CSD Drone Databook,,
188,Central,Syria,Iran,Shahed-129,Armed UAV,,2013.0,2014.0,2016.0,Yes,SIPRI,,,
189,Indo-Pacific,Thailand,Israel,Aerostar,UAV,,2013.0,2015.0,2015.0,Yes,SIPRI,,,
190,Europe,United Kingdom,United States,ScanEagle,UAV,,2013.0,2014.0,2014.0,Yes,SIPRI,,,"SIPRI Comments: ""GBP 30m ($46m) MarUAS deal; leased and operated by producer for UK navy"""
191,Central,Uzbekistan,China,Wing Loong-I,Armed UAV,,2013.0,,2014.0,Yes,SIPRI,Sputnik,,
192,Africa,Algeria,South Africa,Seeker-400,UAV,,2014.0,,,Additional Sources Required,DefenceWeb,,,"From DefenceWeb: "". . . believed to have ordered one new Seeker 400 system with three aircraft"""
193,Indo-Pacific,Australia,United States,RQ-12 WASP AE,UAV,,2014.0,2015.0,,Yes,CSD Drone Databook,UPI,,Trial procurement in 2015; order placed In 2017 
194,Europe,Azerbaijan,Israel,Harop,Loitering Munition,,2014.0,2015.0,2018.0,Yes,SIPRI,CSIS,DIMSE,
195,South America,Brazil,Israel,Hermes-900,UAV,,2014.0,2014.0,2014.0,Yes,SIPRI,,,
196,Africa,Cameroon,Israel,Orbiter 2,UAV,,2014.0,,2015.0,Yes,CSD Drone Databook,Military Africa,,
197,Europe,Czechia,United States,ScanEagle,UAV,,2014.0,2015.0,2015.0,Yes,SIPRI,,,"SIPRI Comments: ""CZK 200m ($6.8–8.1m) aid"" "
198,Central,Iraq,China,CH-4B,Armed UAV,,2014.0,2015.0,2016.0,Yes,SIPRI,,,
199,Europe,Italy,United States,RQ-1 Predator,UAV,,2014.0,2015.0,2015.0,Yes,SIPRI,,,
200,Europe,Italy,Austria,Camcopter S-100,UAV,2012.0,2014.0,,,Yes,Press Release,ODIN,,"From ODIN: ""In April 2012, the Camcopter became the first unmanned helicopter to fly from an Italian Navy vessel when it was flight tested from the MM Bersagliere (F-584). In February 2014, the Italian Navy chose the S-100 as its primary unmanned aerial system for shipboard operations, where it will be used for intelligence, surveillance and reconnaissance (ISR)."""
201,Africa,Nigeria,China,CH-3,Armed UAV,,2014.0,,2014.0,Yes,SIPRI,,,
202,Central,Saudi Arabia,China,Wing Loong-I,Armed UAV,,2014.0,2015.0,2017.0,Yes,SIPRI,,,"SIPRI Comments: ""Produced under license in Saudi Arabia"" "
203,Central,Saudi Arabia,China,CH-4B,Armed UAV,,2014.0,2015.0,2018.0,Yes,SIPRI,,,
204,Indo-Pacific,South Korea,United States,RQ-4 Global Hawk,UAV,,2014.0,,2019.0,Yes,CSD Drone Databook,DSCA Report ,Defense Aerospace,
205,Indo-Pacific,South Korea,United States,RQ-4B Global Hawk,UAV,,2014.0,2019.0,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""$657m deal (incl. production of components in South Korea); RQ-4B Block-30 version"" "
206,Africa,Sudan,China,CH-3,Armed UAV,,2014.0,,2015.0,Yes,SIPRI,,,
207,Central,United Arab Emirates,United States,RQ-1 Predator XP,UAV,,2014.0,2017.0,2017.0,Yes,SIPRI,,,"SIPRI Comments: ""AED 722m ($200m) deal; Predator XP (RQ-1E) version"""
208,Central,Yemen,United States,ScanEagle,UAV,,2014.0,,2014.0,Yes,AIN,Oregon Live,,
209,Central,Afghanistan (Afghan National Army),United States,ScanEagle,UAV,,2015.0,2016.0,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""$71m deal"""
210,Africa,Cameroon,United States,ScanEagle,UAV,,2015.0,2016.0,2016.0,Yes,SIPRI,Military Africa,,"SIPRI Comments: ""$9.4m deal"""
211,Europe,France,United States,MQ-9 Reaper,Armed UAV,,2015.0,2020.0,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""$151m deal; MQ-9 Block-5 version"""
212,Central,Jordan,China,CH-4B,Armed UAV,,2015.0,,2016.0,Yes,SIPRI,,,
213,Central,Kazakhstan,China,Wing Loong-I,Armed UAV,,2015.0,,2016.0,Yes,SIPRI,,,
214,Africa,Kenya,United States,ScanEagle,UAV,,2015.0,2016.0,2016.0,Yes,SIPRI,,,"SIPRI Comments: ""$9.9m deal"""
215,North America,Mexico,Israel,Dominator-2,UAV,,2015.0,2015.0,2016.0,Yes,SIPRI,,,
216,Africa,Nigeria,UAE,Yabhon Flash-20,Armed UAV,,2015.0,2020.0,2021.0,Yes,SIPRI,Defense Web,,
217,Central,Pakistan,China,Wing Loong-I,Armed UAV,,2015.0,,2015.0,Yes,SIPRI,,,"SIPRI Comments: ""Coproduced"""
218,Europe,Slovakia ,Israel,Skylark I-LEX,UAV,,2015.0,,2017.0,Yes,UNROCA,Israeldefense.co,,
219,Indo-Pacific,South Korea,Israel,Heron,UAV,,2015.0,2016.0,2016.0,Yes,SIPRI,,,"SIPRI Comments: ""3KRW 0b deal"""
220,Europe,Spain,United States,RQ-11 Raven,UAV,,2015.0,,,Yes,Army Recognition,Shephard Media,Business Wire,Follow-on purchase; already in possession of system
221,Africa,Sudan,China,CH-4A,UAV,,2015.0,2016.0,2017.0,Yes,SIPRI,,,
222,Europe,Switzerland,Israel,Hermes-900,UAV,,2015.0,2023.0,2023.0,Yes,SIPRI,Janes,,"SIPRI Comments: ""CHF 250m ($260–280m) ADS-15 (UAS-15) program; Hermes-900 StarLiner version; delivery planned 2023–2024"""
223,Central,Turkmenistan,China,CH-3,Armed UAV,,2015.0,,2016.0,Yes,SIPRI,,,
224,Central,Turkmenistan,China,WJ-600,UAV,,2015.0,,2016.0,Yes,SIPRI,,,
225,Europe,Ukraine,United States,RQ-11 Raven,UAV,,2015.0,2016.0,,Yes,Flittle Disclosure,Defense Blog,,
226,Indo-Pacific,Australia,Austria,Camcopter S-100,UAV,,2016.0,2017.0,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""AUD 16m ($12m); Navy Minor Project 1942; 3-year lease (extended 2021 for 3 more years)"""
227,Europe,Azerbaijan,Israel,Orbiter-3,UAV,,2016.0,2016.0,2017.0,Yes,SIPRI,,,
228,Europe,Azerbaijan,Israel,Orbiter-1K,Loitering Munition,,2016.0,2016.0,2020.0,Yes,SIPRI,Flight Global,CSIS,Began manufacturing in 2017 under local designation Zarba F
229,Europe,Azerbaijan,Israel,SkyStriker,Loitering Munition,,2016.0,2018.0,2020.0,Yes,SIPRI ,CSIS,Azer News,
230,North America,Canada,United States,RQ-21 Blackjack,UAV,,2016.0,2017.0,2017.0,Yes,SIPRI,Canadian Army Today,,"SIPRI Comments: ""CU172 Blackjack; $14m deal"""
231,Central,Egypt,China,Wing Loong-I,Armed UAV,,2016.0,2016.0,2018.0,Yes,SIPRI,,,
232,Europe,Germany,Israel,Heron,UAV,,2016.0,,2016.0,Yes,SIPRI,,,"SIPRI Comments: ""Lease for use with German EU peacekeeping forces in Mali"" "
233,Indo-Pacific,Indonesia,Sweden,Skeldar V-200,UAV,,2016.0,2017.0,2017.0,Yes,SIPRI,,,
234,Indo-Pacific,Indonesia,Sweden,Skeldar F-330,UAV,,2016.0,2016.0,,Yes,CSD Drone Databook,Defense News,,Trial Platform
235,Indo-Pacific,Malaysia,Spain,Fulmar ,UAV,,2016.0,,2017.0,Yes,CSD Drone Databook,Defense News,,
236,Europe,Netherlands,United States,RQ Wasp III,UAV,,2016.0,,,Yes,Business Wire,,,
237,Europe,Netherlands,United States,RQ-20 Puma AE,UAV,,2016.0,,,Yes,Business Wire,,,
238,Europe,Spain,United States,MQ-9 Reaper,Armed UAV,,2016.0,2019.0,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""EUR 158–161m deal; incl. for ASW; Spanish designation NR.05"""
239,Africa,Tunisia,United States,ScanEagle,UAV,,2016.0,,,Yes,CSD Drone Databook,C4ISR,,"CSD Drone Databook estimates ScanEagle introduced in 2012, but cites article from 2016"
240,Africa,Zambia,Israel,Hermes-450,UAV,,2016.0,2017.0,2017.0,Yes,SIPRI,,,
241,Central,Afghanistan (Afghan National Army),United States,ScanEagle,UAV,,2017.0,2018.0,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""$19.6m deal"""
242,Africa,Algeria,China,CH-3,Armed UAV,,2017.0,,2018.0,Yes,SIPRI,MilitaryAfrica,Oryx,Oryx reports CH-3A
243,Africa,Algeria,China,CH-4A,UAV,2014.0,2017.0,,2018.0,Yes,SIPRI,MilitaryAfrica,DefenseWeb,
244,Indo-Pacific,Australia,United States,RQ-12 WASP AE,UAV,,2017.0,,,Yes,AeroVironment,UPI,,"Trial procurement in 2015; order placed In 2017, but already in possession of some systems"
245,Europe,Azerbaijan,Israel,Hermes-900,UAV,,2017.0,2017.0,2018.0,Yes,SIPRI,,,
246,Europe,Bulgaria ,United States,Aerosonde,UAV,,2017.0,,2023.0,Yes,CSD Drone Databook,C4ISRNet,,
247,Indo-Pacific,Indonesia,China,CH-4B,Armed UAV,,2017.0,2019.0,2020.0,Yes,SIPRI,,,
248,Central,Iraq,United States,ScanEagle,UAV,,2017.0,2018.0,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""$7.8m deal"""
249,Indo-Pacific,Japan,United States,RQ-4B Global Hawk,UAV,,2017.0,2022.0,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""RQ-4 Block-30 (RQ-4B) version"" "
250,Central,Lebanon,United States,ScanEagle,UAV,,2017.0,2019.0,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""'Building Partner Capacity aid (worth $11m)"""
251,North America,Mexico,Israel,Aerostar,UAV,,2017.0,,2017.0,Yes,SIPRI,,,
252,Indo-Pacific,Myanmar,Austria,Camcopter S-100,UAV,,2017.0,,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""€87m EUR deal"""
253,Europe,Netherlands,United States,RQ-21 Blackjack,UAV,,2017.0,2018.0,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""X-300 Integrator version"""
254,Indo-Pacific,Philippines,United States,ScanEagle 2,UAV,,2017.0,2018.0,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""$13.8m FMF aid"""
255,Central,Saudi Arabia,China,CH-4A,UAV,,2017.0,,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""Produced under license in Saudi Arabia"""
256,Central,Saudi Arabia,China,Wing Loong-II,Armed UAV,,2017.0,2017.0,2022.0,Yes,SIPRI,,,
257,Indo-Pacific,Thailand,Israel,Hermes-450,UAV,,2017.0,2018.0,2018.0,Yes,SIPRI,,,"SIPRI Comments: ""$28m deal"""
258,Africa,Tunisia,Austria,Camcopter S-100,UAV,,2017.0,,2018.0,Yes,SIPRI,,,
259,Europe,Ukraine,Poland,Warmate,Loitering Munition,,2017.0,2018.0,2018.0,Yes,SIPRI,,,
260,Central,United Arab Emirates,China,Wing Loong-II,Armed UAV,,2017.0,2017.0,2018.0,Yes,SIPRI,,,
261,Central,United Arab Emirates,South Africa,Seeker-200,UAV,,2017.0,2020.0,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""AED 48m/ZAR 182m ($13m) deal"""
262,Central,Afghanistan (Afghan National Army),United States,ScanEagle,UAV,,2018.0,2019.0,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""$58m deal (incl. operational support)"""
263,Indo-Pacific,Australia,United States,MQ-9B SkyGuardian,UAV,,2018.0,,2022.0,No,Asia Pacific Defense Reporter,The Defense Post,Breaking Defense,Deal was canceled by Australia in 2022
264,Europe,Croatia,Austria,Camcopter S-100,UAV,,2018.0,,2019.0,Yes,Naval News,UAS Weekly,RTS,
265,Europe,Cyprus,Israel,Aerostar,UAV,,2018.0,2019.0,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""EUR 12m deal; for maritime patrol"""
266,Central,Egypt,United States,RQ-20B Puma AE II,UAV,,2018.0,,2019.0,Yes,Oryx,UAS Vision,,
267,Central,Egypt,China,Wing Loong-ID,Armed UAV,,2018.0,,,Pending,SIPRI,Army Recognition,,
268,Europe,France,Austria,Camcopter S-100,UAV,,2018.0,,2018.0,Yes,SIPRI,,,
269,Europe,Germany,Sweden,Skeldar V-200,UAV,,2018.0,2019.0,2019.0,Yes,SIPRI,CSD Drone Databook,,"SIPRI Comments: ""For use on K-130 frigates"""
270,Europe,Germany,United States,MQ-4C Triton,UAV,,2018.0,,2020.0,No,DSCA Report ,Defense News,,"From Defense News: ""The German government has canceled plans to buy Northrop Grumman-made Triton drones to the tune of $2.5 billion, opting instead for manned planes carrying eavesdropping sensors."""
271,Europe,Germany,Israel,Heron TP,Armed UAV,2016.0,2018.0,2021.0,2021.0,Yes,SIPRI,,,"SIPRI Comments: ""$600m 9-year lease (via German company)"""
272,South America,Honduras,Israel,Skylark III,UAV,,2018.0,2019.0,,Yes,CSD Drone Databook,Israel Defense,,
273,Europe,Iceland,Israel,Hermes-900,UAV,,2018.0,,2019.0,Yes,Naval Technology,Elbit ,,Contract through the European Maritime Safety Agency (EMSA)
274,Indo-Pacific,India,Israel,Hermes-900,UAV,,2018.0,,,Pending,SIPRI,,,"SIPRI Comments: ""Produced under license in India as Drishti-10 Starliner"""
275,Indo-Pacific,India,Israel,Heron-TP,Armed UAV,2015.0,2018.0,,,Pending,SIPRI,Economic Times,,"SIPRI Comments: ""$400m deal; Heron-TP-XP version; selected but probably not yet ordered by the end of 2022"""
276,Indo-Pacific,Indonesia,United States,ScanEagle,UAV,,2018.0,2021.0,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""'Maritime Security Initiative aid"""
277,Indo-Pacific,Laos,China,CH-4B,Armed UAV,,2018.0,,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""Designation uncertain (reported as ""unmanned combat aerial vehicles"")"" "
278,Europe,Latvia,United States,RQ-20A Puma,UAV,,2018.0,,,Pending,Shepard Media,Army Technology,,No reporting of delivery
279,Indo-Pacific,Malaysia,Austria,Camcopter S-100,UAV,,2018.0,,2018.0,Yes,SIPRI,,,
280,Africa,Mauritania ,China,CH-4,Armed UAV,,2018.0,,,Additional Sources Required,Times Aerospace,CSD Drone Databook 2020 Update,,Africa Intelligence reports negotiations occurring in 2020
281,Europe,Netherlands,United States,MQ-9A Reaper,Armed UAV,,2018.0,2022.0,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""MQ-9A Block-5 version"""
282,Africa,Niger,France,Delair DT-26,UAV,,2018.0,2019.0,2020.0,Yes,Times Aerospace,Defence Web,,
283,Europe,Norway,United States,RQ-12A WASP Block IV,UAV,,2018.0,,2019.0,Yes,UAS Norway,UPI,,
284,Europe,Norway,United States,RQ-20B Puma AE II,UAV,,2018.0,,2019.0,Yes,UAS Norway,UPI,,
285,Central,Pakistan,China,Wing Loong-II,Armed UAV,,2018.0,2021.0,2023.0,Yes,SIPRI,,,
286,Indo-Pacific,Philippines,Israel,Hermes-450,UAV,,2018.0,2019.0,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""Incl. 1 delivered for free by producer"""
287,Europe,Poland,United States,RQ-21 Blackjack,UAV,,2018.0,,2018.0,Yes,SIPRI,,,
288,Europe,Portugal,United States,RQ-11B Raven,UAV,,2018.0,2019.0,,Yes,The Defense Post,AeroVironment,AeroVironment,
289,Central,Qatar,Turkey,Bayraktar TB-2,Armed UAV,,2018.0,2019.0,2019.0,Yes,SIPRI,,,
290,Europe,Spain,Israel,Orbiter 3,Loitering Munition,,2018.0,2019.0,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""EUR 3.1m deal"""
291,Indo-Pacific,Thailand,Israel,Dominator-2,UAV,,2018.0,2022.0,2023.0,Yes,SIPRI,,,"SIPRI Comments: ""$27m deal"""
292,Europe,Ukraine,Turkey,Bayraktar TB-2,Armed UAV,,2018.0,2019.0,2021.0,Yes,SIPRI,,,"SIPRI Comments: ""$69m deal"""
293,Central,United Arab Emirates,South Africa,Seeker-400,Armed UAV,,2018.0,2020.0,2021.0,Yes,SIPRI,,,
294,Indo-Pacific,Vietnam,Israel,Heron,UAV,,2018.0,,2021.0,No,SIPRI,The Jerusalem Post,Oryx,"SIPRI Comments: ""$120–160m deal; incl. for maritime patrol; delivery delayed from 2020 to 2021 due to the COVID-19 pandemic.""
Oryx reports the deal inked in 2018 failed to materialize"
295,Europe,Azerbaijan,Israel,Skylark,UAV,,2019.0,,2021.0,Yes,Oryx,Polygon Mag,,
296,South America,Brazil,United States,ScanEagle,UAV,,2019.0,2021.0,2021.0,Yes,SIPRI,,,
297,North America,Canada,Sweden,Skeldar V-200,UAV,,2019.0,2020.0,2021.0,Yes,SIPRI,,,
298,Europe,Croatia,Israel,Orbiter-3B,UAV,2018.0,2019.0,,,Pending,Defense Brief,Aviation Week,Croatian Language Source ,"From Croation Language Source, as of 2021: ""There is no publicly available information on whether the Israeli company Aeronautics delivered all six Orbiter 3B unmanned aerial vehicles that the Ministry of Agriculture bought in 2019 for 4.8 million euros. Drones intended for military-civilian use were purchased by the Ministry of Agriculture so that Croatia could receive EU grants for them."""
299,Europe,Czechia,United States,ScanEagle,UAV,2017.0,2019.0,,,Pending,Defense News,CZ Defence,,Purchased in 2019 for delivery in 2020
300,Europe,France,Austria,Camcopter S-100,UAV,,2019.0,,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""For use on Mistral AALS"""
301,Europe,France,Austria,Camcopter S-100,UAV,,2019.0,,2021.0,Yes,Press Release,Naval News,,Four additional units following 2019 integration
302,Indo-Pacific,India,Israel,Harop,Loitering Munition,,2019.0,,,Pending,The Jerusalem Post,Force India,,Various reporting on February 2019 order; cannot confirm delivery
303,Indo-Pacific,Indonesia,United States,ScanEagle,UAV,,2019.0,2022.0,,Yes,SIPRI,,,"SIPRI Comments: ""'Maritime Security Initiative aid"""
304,Africa,Libya (GNC),Turkey,Bayraktar TB-2,Armed UAV,,2019.0,,2019.0,Yes,SIPRI,,,
305,Europe,Luxembourg,United States,RQ-21 Blackjack,UAV,,2019.0,2022.0,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""X-300 Integrator version"""
306,Indo-Pacific,Malaysia,United States,ScanEagle 2,UAV,,2019.0,2020.0,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""'Maritime Security Initiative aid"""
307,Central,Oman,United States,RQ-21 Blackjack,UAV,,2019.0,2022.0,2022.0,Yes,SIPRI,,,
308,Central,Pakistan,China,CH-4,UAV,,2019.0,2021.0,2022.0,Yes,SIPRI,Janes,,"SIPRI reports CH-4A variant, while others claim acquisition of armed CH-4B variant; author codes as unarmed due to like of affirming evidence to armed system"
309,Indo-Pacific,Philippines,Israel,Hermes-900,UAV,,2019.0,2019.0,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""Part of 3 Hermes-900 systems"""
310,Indo-Pacific,Philippines,United States,ScanEagle 2,UAV,,2019.0,2021.0,2021.0,Yes,SIPRI,,,"SIPRI Comments: ""PHP 710m ($15m) Maritime Security Initiative aid"""
311,Indo-Pacific,Philippines,Israel,Skylark III,UAV,,2019.0,,,Pending,Elbit Systems,Asian Military Review,Janes,$153m package announced in October 2019
312,Indo-Pacific,Philippines,Israel,Skylark LEX,UAV,,2019.0,,,Pending,Elbit Systems,Asian Military Review,Janes,$153m package announced in October 2019
313,Indo-Pacific,Philippines,Israel,THOR,UAV,,2019.0,,,Pending,Elbit Systems,Asian Military Review,Janes,$153m package announced in October 2019
314,Europe,Serbia,China,CH-92,Armed UAV,,2019.0,,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""Possibly $30m deal (incl. technology transfers for development of Serbian Pegasus UAV)"" "
315,Indo-Pacific,Thailand,Israel,Orbiter-3B,UAV,,2019.0,,2019.0,Yes,SIPRI,,,"SIPRI Comments: ""$8m deal"""
316,Indo-Pacific,Thailand,Austria,Camcopter S-100,UAV,,2019.0,2020.0,2021.0,Yes,SIPRI,Shephard Media,,"SIPRI Comments: ""THB 600m ($19m) deal"""
317,Africa,Tunisia,United States,RQ-20 Puma ,UAV,,2019.0,,2022.0,Yes,Military Africa,Africa Intelligence,,
318,Africa,Uganda,Israel,Hermes-900,UAV,,2019.0,,2022.0,Yes,Military Africa,Janes,Defense Web,"Janes reports delivery to Uganda as unconfirmed (April 2023);
 video reported by DefenceWeb and Oryx suggests delivery "
319,Central,United Arab Emirates,United States,ScanEagle,UAV,,2019.0,2020.0,2020.0,Yes,SIPRI,,,
320,Central,United Arab Emirates,China,CR500 Golden Eagle,Armed UAV,,2019.0,,,Pending,SIPRI,,,
321,Central,United Arab Emirates,United States,RQ-21 Blackjack,UAV,,2019.0,,,Pending,GovInfo,CSD Drone Databook,,
322,Indo-Pacific,Vietnam,United States,ScanEagle,UAV,,2019.0,,2022.0,Yes,SIPRI,,,"SIPRI Comments: ""'Maritime Security Initiative aid; for coast guard"""
323,Europe,Albania,United States,RQ-20 Puma AE,UAV,,2020.0,,2021.0,Yes,Military+Aerospace Electronics,Albanian Daily News,GovTribe,
324,Europe,Armenia,Russia,ZALA 421-16E,UAV,,2020.0,,,Pending,Oryx,,,"Armenian indigenous copy UL-300; listed as ""not yet acquired/prototype""; also have a loitering munition variant"
325,Indo-Pacific,Australia,United States,MQ-4C Triton,UAV,2018.0,2020.0,,,Pending,SIPRI,RAAF,,Deal was first made public in 2018; SIPRI documents 2020; Part of AUD3–4b Project JP-2062 or Air-7000 Phase-1B; MQ-4CN version; delivery planned 2023–2025
326,Europe,Azerbaijan,Turkey,Bayraktar TB-2,Armed UAV,,2020.0,,2020.0,Yes,SIPRI,Oryx,,
327,Indo-Pacific,Bangladesh,Italy,Falco,UAV,,2020.0,2022.0,2022.0,Yes,SIPRI,,,
328,Indo-Pacific,Bangladesh,United States,RQ-12B WASP AE,UAV,,2020.0,,,Pending,GovTribe,Janes,,
329,Indo-Pacific,Bangladesh,United States,RQ-20A Puma,UAV,,2020.0,,,Pending,GovTribe,,,
330,Europe,Belgium,Sweden,Skeldar V-200,UAV,,2020.0,,,Yes,SIPRI,,,"SIPRI Comments: ""For use on MCM ships; ordered via French company; delivery planned from 2023"""
331,Europe,Belgium,United States,MQ-9B SkyGuardian ,UAV,2016.0,2020.0,,,Pending,SIPRI,CSD Drone Databook,,"SIPRI Comments: $189m deal; MQ-9B SkyGuardian version; delivery planned by end of 2024; 
From CSD: in its ""Strategic Vision 2030"" planning document, which was released in 2016, the Belgian Ministry of Defense announced that it would invest 490 million euros to acquire medium-altitude long-endurance drones to replace the RQ-5 Hunter B.4 In 2018 the MoD began negotiations with the United States to purchase the GA-ASI MQ-9B SkyGuardian, a variant of the MQ-9 Reaper, to fill this requirement."
332,Europe,Belgium,United States,RQ-20A Puma,UAV,,2020.0,,,Additional Sources Required,Army Recognition,,,No available confirmation of delivery
333,Europe,Belgium,United States,RQ-21 Integrator,UAV,,2020.0,,,Additional Sources Required,Army Recognition,,,No available confirmation of delivery
334,Africa,Brunei,United States,RQ-21 Blackjack,UAV,,2020.0,2021.0,2021.0,Yes,SIPRI,,,
335,North America,Canada,Israel,Hermes-900,UAV,,2020.0,,,Pending,Elbit Systems,Nunatsiaq,,"Canada purchased the Hermes Starliner, the Hermes-900 (MALE UAS), but certified to operate in civilian airspace. Included because of MALE capabilities that can easily be transitioned to military missions. Canada's expected use is ""to detect oil spills, survey sea ice, monitor shipping and assist with search and rescue""; expected completion of order in 2023"
336,North America,Canada,United States,V-BAT 128,UAV,,2020.0,,,Pending,Janes,,,
337,Europe,France,United States,MQ-9 Reaper,UAV,,2020.0,,2020.0,Yes,SIPRI,Reuters,,"SIPRI Comments: ""Probably secondhand; lease, MQ-9 Block-1 version"""
338,Europe,Greece,Israel,Heron-MP,UAV,,2020.0,,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""$39m 3-year lease; maritime patrol UAV"""
339,Indo-Pacific,India,United States,MQ-9 Reaper,UAV,,2020.0,,2020.0,Yes,SIPRI,,,"SIPRI Comments: ""Leased"""
340,Indo-Pacific,India,Poland,Warmate,Loitering Munition,,2020.0,2022.0,2022.0,Yes,SIPRI,,,
341,Central,Iraq (PMF),Iran,Mohajer-6 ,Armed UAV,,2020.0,,2020.0,Yes,SIPRI ,Oryx,,
342,Africa,Morocco,United States,MQ-9B SeaGuardian,UAV,2020.0,2020.0,,,Pending,Oryx,Military Africa,,Negotiations of U.S. sale of 4 MQ-9B SeaGuardian drones in 2020 (initiated by the Trump administration; hypothesis that Biden quietly pulled out of agreed deal) 
343,Europe,Netherlands,Sweden,Skeldar V-200,UAV,,2020.0,,,Pending,SIPRI,UMS Skeldar,Naval News,"SIPRI Comments: ""For use on MCM ships; ordered via French company; delivery planned from 2023"""
344,Africa,Nigeria,United States,Aerosonde,UAV,,2020.0,,2022.0,Yes,defenceweb,Military Africa,,Aerosonde MK 4.7; est. completion in Sept 2021
345,Africa,Nigeria,China,Wing Loong-II,Armed UAV,,2020.0,,2023.0,Yes,SIPRI,,,
346,Africa,Nigeria,China,CH-3,Armed UAV,,2020.0,,,Pending,SIPRI,,,
347,Africa,Nigeria,China,CH-4B,Armed UAV,,2020.0,,,Pending,SIPRI,,,
